Row,middle_median,ADvPC_h_paired,ADvPC_p_paired,ADvPC_normal_paired,ADvPC_h_unpaired,ADvPC_p_unpaired,ADvPC_normal_unpaired,ADvPC_p_ANOVA,ADvC_h_paired,ADvC_p_paired,ADvC_normal_paired,ADvC_h_unpaired,ADvC_p_unpaired,ADvC_normal_unpaired,ADvC_p_ANOVA,PCvC_h_paired,PCvC_p_paired,PCvC_normal_paired,PCvC_h_unpaired,PCvC_p_unpaired,PCvC_normal_unpaired,PCvC_p_ANOVA,AD_mean,PC_mean,C_mean,AD_median,PC_median,C_median,AD_std,PC_std,C_std,AD_values_ 1,AD_values_ 2,AD_values_ 3,AD_values_ 4,AD_values_ 5,AD_values_ 6,AD_values_ 7,AD_values_ 8,AD_values_ 9,AD_values_10,AD_values_11,AD_values_12,AD_values_13,AD_values_14,AD_values_15,AD_values_16,AD_values_17,AD_values_18,AD_values_19,AD_values_20,AD_values_21,AD_values_22,AD_values_23,AD_values_24,AD_values_25,AD_values_26,AD_values_27,AD_values_28,AD_values_29,AD_values_30,AD_values_31,AD_values_32,AD_values_33,AD_values_34,AD_values_35,AD_values_36,AD_values_37,AD_values_38,AD_values_39,PC_values_ 1,PC_values_ 2,PC_values_ 3,PC_values_ 4,PC_values_ 5,PC_values_ 6,PC_values_ 7,PC_values_ 8,PC_values_ 9,PC_values_10,PC_values_11,PC_values_12,PC_values_13,PC_values_14,PC_values_15,PC_values_16,PC_values_17,PC_values_18,PC_values_19,PC_values_20,PC_values_21,PC_values_22,PC_values_23,PC_values_24,PC_values_25,PC_values_26,PC_values_27,PC_values_28,PC_values_29,PC_values_30,PC_values_31,PC_values_32,PC_values_33,PC_values_34,PC_values_35,PC_values_36,PC_values_37,PC_values_38,PC_values_39,C_values_ 1,C_values_ 2,C_values_ 3,C_values_ 4,C_values_ 5,C_values_ 6,C_values_ 7,C_values_ 8,C_values_ 9,C_values_10,C_values_11,C_values_12,C_values_13,C_values_14,C_values_15,C_values_16,C_values_17,C_values_18,C_values_19,C_values_20,C_values_21,C_values_22,C_values_23,C_values_24,C_values_25,C_values_26,C_values_27,C_values_28,C_values_29,C_values_30,C_values_31,C_values_32,C_values_33,C_values_34,C_values_35,C_values_36,C_values_37,C_values_38,C_values_39
DepositSize,AD,0,0.769480146,1,0,0.486440362,1,0.468574634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70018.94872,84320.41026,NaN,45430,43588,NaN,76376.47319,102341.9544,NaN,133073,24770,3377,30,191002,45430,2,2096,2096,21955,105943,48218,78686,73947,107921,70117,3613,32678,67534,88491,119459,177571,42673,12218,235,85805,93510,29578,18043,6056,70031,19122,282410,229600,281881,5980,5007,18086,132495,31707,24863,12800,12104,270902,94109,76414,17283,77362,99961,2034,47755,350119,1634,31990,78067,6130,109243,88251,5551,43588,24457,217,120275,237092,62777,157740,5870,450634,1082,22799,278,220375,119264,24084,99021,189332,31716,39616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Background_Diattenuation_45_Mean,AD,1,0.025562158,1,0,0.438543164,1,0.442409421,1,1.62E-05,1,1,2.94E-08,1,2.84E-07,1,0.000229495,1,1,8.09E-05,1,0.000137061,0.086858646,0.072511927,-0.043848879,0.085424865,0.098070599,-0.08184068,0.011622558,0.114461019,0.131564104,0.088532666,0.084264029,0.078884799,0.066655864,0.085424865,0.114473028,0.090251724,0.079741606,0.079741606,0.08297619,0.07795565,0.11363348,0.091536652,0.102100759,0.112069869,0.086451586,0.085654837,0.079051571,0.074730655,0.093699276,0.07391786,0.07996018,0.08666385,0.076635413,0.08716465,0.084855148,0.066931648,0.094260338,0.078744069,0.105083498,0.095071263,0.08269227,0.088420336,0.092134284,0.083138419,0.068493288,0.094422166,0.083714744,0.097353069,0.090317272,0.099488977,0.099024201,0.120665277,0.078110777,0.100853442,0.116377278,0.080902088,0.11560311,0.080790702,0.026482074,0.092056459,-0.172939108,0.099043671,0.112422316,0.098070599,0.099754983,0.090689795,0.097041052,0.086488284,0.100253143,0.080086251,0.125298903,0.097992043,0.114332174,0.089763919,0.10744813,0.087064374,0.099195905,0.097520286,0.101568203,0.09375063,-0.565309445,0.107434981,0.099865974,0.084558364,0.101047237,0.104627119,0.090223715,-0.050282935,0.330538292,-0.014595787,-0.090689151,-0.017864157,0.02065668,0.210619245,0.068103843,0.459241999,-0.091365417,-0.090053335,0.069229904,-0.04356098,0.007121214,-0.07027827,-0.087643923,-0.097489991,-0.061181439,-0.062713855,-0.128229583,-0.085510678,-0.103148881,-0.087264403,-0.102588317,-0.327610949,-0.08184068,-0.097359006,-0.109407452,-0.082805488,-0.083353839,-0.110164329,-0.220646736,-0.05808221,-0.10336299,-0.076202501,-0.084011461,-0.047517128,-0.078174594,-0.030616987
Deposit_Diattenuation_45_Mean,AD,0,0.685701762,1,0,0.331435301,1,0.31803586,1,1.62E-05,1,1,4.79E-07,1,1.69E-06,1,0.000301109,1,1,8.60E-05,1,0.000156763,0.07358293,0.059989314,-0.043848879,0.073412251,0.07979493,-0.08184068,0.020806899,0.084319104,0.131564104,0.079097883,0.081677999,0.070108628,0.039139107,0.065581934,0.077004524,0.105652227,0.082641751,0.082641751,0.086708315,0.043518805,0.102369927,0.090897269,0.100205819,0.106026457,0.048314183,0.090200901,0.071659195,0.062091867,0.04854118,0.062592809,0.043590131,0.090171255,0.066050413,0.119506704,0.050825045,0.057886288,0.083820762,0.062971475,0.096060756,0.092173108,0.073412251,0.053632891,0.04255301,0.064826539,0.055004795,0.096132698,0.04804605,0.07639756,0.074531077,0.092957644,0.077715225,0.12136465,0.075231203,0.084880774,0.102356825,0.058988003,0.08795989,0.038493834,0.01753549,0.082175174,-0.169361525,0.083513296,0.072798255,0.063661296,0.09487306,0.059532559,0.074828282,0.085839556,0.091828982,0.064497305,0.114471474,0.091431038,0.105400856,0.090233578,0.069807352,0.07241387,0.047437682,0.085857582,0.101808053,0.10022631,-0.370048889,0.069834116,0.0947482,0.045055363,0.095955181,0.07979493,0.008955715,-0.050282935,0.330538292,-0.014595787,-0.090689151,-0.017864157,0.02065668,0.210619245,0.068103843,0.459241999,-0.091365417,-0.090053335,0.069229904,-0.04356098,0.007121214,-0.07027827,-0.087643923,-0.097489991,-0.061181439,-0.062713855,-0.128229583,-0.085510678,-0.103148881,-0.087264403,-0.102588317,-0.327610949,-0.08184068,-0.097359006,-0.109407452,-0.082805488,-0.083353839,-0.110164329,-0.220646736,-0.05808221,-0.10336299,-0.076202501,-0.084011461,-0.047517128,-0.078174594,-0.030616987
Background_Diattenuation_Circ_Mean,AD,1,0.024655711,1,0,0.986356863,1,0.985428584,1,0.023777242,1,0,0.173497886,1,0.174587829,1,0.032751644,1,0,0.21335529,1,0.200950177,-0.013514849,-0.013570081,-0.004772329,-0.013017866,-0.017848356,-0.001855143,0.005764346,0.019260793,0.039317128,-0.017086519,-0.023927334,-0.009099801,-0.014385664,3.46E-05,-0.008871047,-0.014007346,-0.012955958,-0.012955958,-0.007531692,-0.011297256,-0.013060395,-0.007472774,-0.01086784,-0.015969957,-0.017711122,-0.011261468,-0.01759526,-0.0133218,-0.013628576,-0.022089478,-0.015286548,-0.013017866,-0.016824749,-0.010827269,-0.016556056,-0.011152162,-0.011520593,-0.00941908,-0.014886792,-0.012388443,-0.007288532,-0.00724411,-0.01890497,-0.008760038,-0.005528069,-0.018712227,-0.020711336,-0.032987633,-0.016973872,-0.019310713,-0.024049293,-0.023776767,-0.015459804,-0.017700409,-0.018764236,-0.01545752,-0.019579838,-0.016428811,-0.016717406,0.004539924,0.049361706,-0.014825682,-0.013214308,-0.019677991,-0.01738779,-0.017848356,-0.013150194,-0.011894242,-0.019577837,-0.016380396,-0.02525475,-0.017872004,-0.020107349,-0.014766846,-0.02290736,-0.018444302,-0.024679002,-0.020854098,-0.019624691,-0.021914952,0.078823933,-0.015372952,-0.012199878,-0.021242608,-0.023681064,-0.017892131,-0.016969262,0.061833221,-0.052133661,-0.04194493,-0.046299422,0.020414207,-0.001855143,0.003801475,-0.019323684,-0.147906575,-0.005581418,0.026432645,0.011797313,-0.012036769,0.001241413,0.004902307,-0.00086556,0.016132797,0.048663377,-0.002183102,0.016937769,0.009900556,0.008900407,-0.013578583,0.020538397,-0.06767162,-0.018046178,0.004672841,-0.024349663,0.059850837,-0.003197307,-0.090415704,0.061090428,0.01495798,-0.005262077,-0.003194428,-0.013107742,-0.01445277,0.009029798,-0.003812272
Deposit_Diattenuation_Circ_Mean,AD,0,0.586272945,1,0,0.288256833,1,0.290560823,0,0.426360576,1,0,0.727022939,1,0.725555452,0,0.845103323,1,0,0.543674183,1,0.530827833,-0.007311591,0.00085286,-0.004772329,-0.002361165,-0.009178515,-0.001855143,0.022416515,0.042077754,0.039317128,-0.019387896,-0.02490312,-0.024110023,0.020668727,0.032621364,-0.029704438,0.015708121,0.010712378,0.010712378,0.009855145,-0.029900517,0.002946204,0.010714241,0.002222342,0.000916202,0.006615013,0.000179444,0.0168297,0.006427239,-0.017507111,-0.044681995,0.012476705,0.006557101,-0.033676176,-0.002361165,-0.044140775,-0.017062642,0.006058404,-0.010355822,-0.002822157,-0.016108346,0.037520738,0.010967932,-0.046246389,-0.025575854,-0.016159933,-0.008296427,-0.04429212,-0.04856851,-0.016291248,-0.036874188,0.010593281,-0.014651956,-0.009583618,0.020439138,-0.010735319,0.028900755,-0.0072782,-0.035643426,-0.045778345,0.038992181,0.053488715,-0.020311076,-0.020609767,-0.009178515,0.013828282,0.039625244,-0.03621336,-0.02071407,-0.023615407,-0.011470313,-0.032942257,0.027890079,0.001842212,0.007606966,0.000100729,-0.041851994,-0.047882393,-0.019229098,-0.006061707,-0.008151983,0.202272249,0.024272592,0.014431082,-0.015639808,-0.02368731,0.034571481,0.028801915,0.061833221,-0.052133661,-0.04194493,-0.046299422,0.020414207,-0.001855143,0.003801475,-0.019323684,-0.147906575,-0.005581418,0.026432645,0.011797313,-0.012036769,0.001241413,0.004902307,-0.00086556,0.016132797,0.048663377,-0.002183102,0.016937769,0.009900556,0.008900407,-0.013578583,0.020538397,-0.06767162,-0.018046178,0.004672841,-0.024349663,0.059850837,-0.003197307,-0.090415704,0.061090428,0.01495798,-0.005262077,-0.003194428,-0.013107742,-0.01445277,0.009029798,-0.003812272
Background_Diattenuation_Full_Mean,PC,1,0.005725705,1,0,0.074498797,1,0.076688696,1,3.37E-06,1,1,0.000306326,1,0.000470741,1,0.004226074,1,0,0.073341821,1,0.087819444,0.100211876,0.12277425,0.158510919,0.100758752,0.109422687,0.129041179,0.010582092,0.077193018,0.095640648,0.105283919,0.10593412,0.093014945,0.084318247,0.108292046,0.131930596,0.09640649,0.095811222,0.095811222,0.091886724,0.087598544,0.121792929,0.098367701,0.104790548,0.120405296,0.103976787,0.095839681,0.105263816,0.083808516,0.101859823,0.089868988,0.095631991,0.099153352,0.095726408,0.101112616,0.103018832,0.083113287,0.100758752,0.091970534,0.112915613,0.108831462,0.091378976,0.104458852,0.108920559,0.094854288,0.082730571,0.102347471,0.102466986,0.106610466,0.104670448,0.108642228,0.109422687,0.124733647,0.091776813,0.115432209,0.121720745,0.121060144,0.122967229,0.094202913,0.050479022,0.095336694,0.201304808,0.108270298,0.123574776,0.109442139,0.103430687,0.094998922,0.150896323,0.097528309,0.111022872,0.098561701,0.135720799,0.109078037,0.125169014,0.099817162,0.119721199,0.095640513,0.107057699,0.101326398,0.111025941,0.106189263,0.57404079,0.113282804,0.109878774,0.099752029,0.11305936,0.110000529,0.097959809,0.129961946,0.337041275,0.082195835,0.107977979,0.170562024,0.157710858,0.21690336,0.104230527,0.491521343,0.131778445,0.102469606,0.162120955,0.110254192,0.145966004,0.108474246,0.104976396,0.108957556,0.106226882,0.114505156,0.153268612,0.096766359,0.142805244,0.161499871,0.129041179,0.335118556,0.146566724,0.128170839,0.160619547,0.105757024,0.090127164,0.475876369,0.247586254,0.100005017,0.159149448,0.124584265,0.13758717,0.121644615,0.090567371,0.081349616
Deposit_Diattenuation_Full_Mean,PC,0,0.050736741,1,1,0.042356276,1,0.047245906,1,5.07E-07,1,1,9.20E-05,1,7.08E-05,1,0.002823113,1,1,0.040100455,1,0.049748001,0.094037851,0.118539414,0.158510919,0.092734312,0.101542227,0.129041179,0.018802,0.071681362,0.095640648,0.106292705,0.097701246,0.076738655,0.068033025,0.097474794,0.10278103,0.110238045,0.091976545,0.091976545,0.092549526,0.067570122,0.111500944,0.098584262,0.10219362,0.124755845,0.077011316,0.096831748,0.095269437,0.070909637,0.062884652,0.090556742,0.074491415,0.099979312,0.08935635,0.17375859,0.095541398,0.092734312,0.092709539,0.075705053,0.103435126,0.111667346,0.088133,0.090100394,0.086099774,0.096520548,0.07663256,0.10328818,0.088153128,0.095339735,0.09382086,0.10757289,0.092537989,0.126034096,0.085753923,0.102523939,0.113487842,0.101542227,0.106016896,0.072549715,0.062534877,0.095414552,0.198218451,0.096706681,0.09566015,0.07709883,0.103852897,0.080786262,0.295007821,0.093563051,0.101919412,0.08136441,0.226779785,0.102827462,0.113267797,0.09550484,0.08848267,0.092812123,0.091311301,0.107956646,0.108431646,0.15775754,0.465908759,0.089714086,0.103013757,0.062299081,0.11061183,0.096733495,0.125656539,0.129961946,0.337041275,0.082195835,0.107977979,0.170562024,0.157710858,0.21690336,0.104230527,0.491521343,0.131778445,0.102469606,0.162120955,0.110254192,0.145966004,0.108474246,0.104976396,0.108957556,0.106226882,0.114505156,0.153268612,0.096766359,0.142805244,0.161499871,0.129041179,0.335118556,0.146566724,0.128170839,0.160619547,0.105757024,0.090127164,0.475876369,0.247586254,0.100005017,0.159149448,0.124584265,0.13758717,0.121644615,0.090567371,0.081349616
Background_Diattenuation_Horz_Mean,AD,0,0.219432021,1,0,0.82386705,1,0.837107134,1,0.003234722,1,0,0.196063611,1,0.207236138,1,0.001265881,1,0,0.178753791,1,0.172898419,0.039070255,0.038023208,0.060167921,0.042608573,0.038411725,0.080078216,0.018403139,0.022769647,0.099324361,0.050863888,0.056363673,0.043818142,0.046005986,0.043434317,0.061797425,0.02612285,0.048481998,0.048481998,0.03432253,0.032709052,0.035599306,0.030616718,0.010314207,0.034172308,0.050828945,0.037532286,0.064800312,0.031124304,0.03300313,0.042556711,0.047014643,0.043151958,0.052064631,0.046831314,0.05283226,0.044014544,0.027693539,0.042608573,0.0348633,0.047367808,0.033135222,-0.05092512,0.051601122,0.041154831,0.041975732,0.030292901,0.052241187,0.0228714,0.047333893,0.034367513,0.035917013,-0.014323506,0.042282844,0.037370787,0.025959063,0.087506844,0.034081078,0.042579975,0.02664919,0.016252213,0.087742602,0.038411725,0.046621388,0.034757078,-0.014642582,0.011330742,0.111032317,0.040483133,0.04027131,0.048815648,0.044130083,0.041682818,0.044076717,0.038180362,0.044271427,0.031710416,0.027922963,0.011070541,0.037677456,0.04195215,0.057734008,0.029354717,0.041743613,0.045735124,0.040990018,0.025797954,0.018074495,0.100365981,0.035315137,0.066268052,0.032983497,0.167045088,0.155472614,-0.050556572,0.034348778,-0.092159198,0.092005822,0.038495381,0.145064351,0.09928353,0.144742812,0.081055462,0.055515125,0.042553743,0.069089665,0.093327299,0.080362433,0.040155249,0.097055828,0.133616314,0.073272324,-0.009685752,0.118742402,0.080078216,0.112682458,0.021624802,0.02963091,-0.453029002,0.089449471,0.076778744,0.119218527,0.096341977,0.106219288,0.109314994,0.042342515,0.072160653
Deposit_Diattenuation_Horz_Mean,AD,0,0.162865178,1,0,0.239660367,1,0.247130936,1,0.000941883,1,0,0.124361362,1,0.135441181,1,0.00033523,1,1,0.04937763,1,0.055076342,0.034897076,0.02466637,0.060167921,0.036023349,0.031350475,0.080078216,0.02119712,0.049568402,0.099324361,0.057594107,0.041943676,0.011963621,0.046180018,0.036023349,0.052896437,0.023520626,0.030893959,0.030893959,0.027041932,0.032301151,0.036737924,0.029672038,0.011259583,0.045446834,0.035245129,0.029326582,0.05661928,0.024432466,0.026012154,0.042311324,0.05155634,0.038165166,0.044719816,0.04483832,0.058729182,0.059565707,0.011744998,0.031703505,0.028190177,0.053405921,0.016605278,-0.062960474,0.04825584,0.056870994,0.045541902,0.028959359,0.054434906,0.022342891,0.041580845,0.029748405,0.044622851,-0.021366988,0.034296353,0.027578683,0.026038845,0.074574,0.035399959,0.038118686,0.029100985,-0.004883208,0.085060718,0.029935221,0.040035279,0.023049748,-0.021031475,-0.008304602,-0.238853481,0.02663474,0.030546865,0.033798188,0.087696572,0.023560993,0.033802528,0.026358735,0.034177079,0.032750436,0.02947,-0.004401653,0.033383996,0.044747543,0.042695699,0.005979012,0.033988326,0.023645659,0.044756612,0.031350475,0.082345797,0.100365981,0.035315137,0.066268052,0.032983497,0.167045088,0.155472614,-0.050556572,0.034348778,-0.092159198,0.092005822,0.038495381,0.145064351,0.09928353,0.144742812,0.081055462,0.055515125,0.042553743,0.069089665,0.093327299,0.080362433,0.040155249,0.097055828,0.133616314,0.073272324,-0.009685752,0.118742402,0.080078216,0.112682458,0.021624802,0.02963091,-0.453029002,0.089449471,0.076778744,0.119218527,0.096341977,0.106219288,0.109314994,0.042342515,0.072160653
Background_Diattenuation_Lin_Mean,PC,1,0.004818709,1,0,0.078993373,1,0.080305494,1,1.03E-05,1,1,0.000376008,1,0.000546028,1,0.006783914,1,0,0.082789596,1,0.097431384,0.098601007,0.12063035,0.154621516,0.099555573,0.107125576,0.127170674,0.010497713,0.076550891,0.093389213,0.10359315,0.102874196,0.092331512,0.082701711,0.104048921,0.131359497,0.09511998,0.094669367,0.094669367,0.091224058,0.086446623,0.120846365,0.097696914,0.103789622,0.118746957,0.101891722,0.09473002,0.103252227,0.082231851,0.100520197,0.086431132,0.093940986,0.097898789,0.093805578,0.10011353,0.101166925,0.081726533,0.099555573,0.091004373,0.111451739,0.107599613,0.090476527,0.103715415,0.106751945,0.093973597,0.082007315,0.100229124,0.099893264,0.100953055,0.10276484,0.1065407,0.106531469,0.122208593,0.090138554,0.113357551,0.119839262,0.119872014,0.121124558,0.092249343,0.046771465,0.094890728,0.194783737,0.107088599,0.122621927,0.107125576,0.101671482,0.092786868,0.150054672,0.096618226,0.109040747,0.096392576,0.133233756,0.107363185,0.123268341,0.098501906,0.117273094,0.093650464,0.103950472,0.098952932,0.109028309,0.103700036,0.568427847,0.112023713,0.1089649,0.09725426,0.110238671,0.108339669,0.095938588,0.114077501,0.33278002,0.069886778,0.097203307,0.169160305,0.157585063,0.216809885,0.101600335,0.468570581,0.130831035,0.098690071,0.161498937,0.10941818,0.145743693,0.108187548,0.104710011,0.107488905,0.093758553,0.114044932,0.152073396,0.09576277,0.142373893,0.160602659,0.127170674,0.328024193,0.145231684,0.127845515,0.15822618,0.086467617,0.089662163,0.466986509,0.238598353,0.098450526,0.158782971,0.124099929,0.136601501,0.120505645,0.089840957,0.080886343
